021116	00:02	616	21.10	185	1002	0.060	5.0	0.100
021116	03:02	616	20.98	185	828	0.060	4.7	0.100
021116	06:02	616	20.94	186	189	0.060	4.5	0.075
021116	09:02	616	21.06	186	491	0.040	4.7	0.075
021116	12:02	616	21.22	186	18	0.060	4.8	0.100
021116	15:02	616	21.14	186	10	0.120	6.5	0.150
021116	18:02	616	21.10	186	550	0.100	4.7	0.150
021116	21:02	616	20.29	186	748	0.100	4.4	0.125
021117	00:02	616	20.41	186	599	0.100	4.2	0.150
021117	03:02	616	20.69	186	455	0.080	4.0	0.125
021117	06:02	616	20.57	186	884	0.080	3.9	0.125
021117	09:02	616	20.65	187	33	0.080	4.3	0.100
021117	12:02	616	20.78	186	516	0.080	4.2	0.125
021117	15:02	616	20.86	186	355	0.120	4.6	0.175
021117	18:02	616	20.45	186	737	0.160	5.1	0.225
021117	21:02	616	20.69	186	992	0.180	5.0	0.275
021118	00:02	616	20.65	186	692	0.200	5.0	0.300
021118	03:02	616	20.57	186	416	0.240	4.6	0.375
021118	06:02	616	20.57	186	655	0.320	4.7	0.450
021118	09:02	616	20.49	186	835	0.320	4.3	0.475
021118	12:02	616	20.78	186	371	0.360	4.4	0.525
021118	15:02	616	20.65	186	167	0.320	4.9	0.475
021118	18:02	616	20.73	186	840	0.280	4.5	0.400
021118	21:02	616	20.65	187	220	0.300	4.6	0.450
021119	00:02	616	20.69	186	989	0.360	4.6	0.525
021119	03:02	616	20.65	186	524	0.320	4.4	0.475
021119	06:02	616	20.61	186	717	0.300	4.5	0.450
021119	09:02	616	20.82	187	32	0.300	4.6	0.425
021119	12:02	616	20.94	186	736	0.320	4.7	0.475
021119	15:02	616	21.02	186	580	0.260	5.2	0.375
021119	18:02	616	20.94	187	56	0.260	4.9	0.400
021119	21:02	616	20.94	187	404	0.260	5.0	0.375
021120	00:02	616	20.61	186	887	0.200	4.6	0.300
021120	03:02	616	20.57	186	493	0.240	5.2	0.375
021120	06:02	616	20.57	186	565	0.260	5.4	0.375
021120	09:02	616	20.61	186	851	0.260	5.4	0.375
021120	12:02	616	20.69	186	646	0.240	5.4	0.350
021120	15:02	616	20.78	186	357	0.260	5.5	0.375
021120	18:02	616	20.65	186	609	0.200	5.3	0.300
021120	21:02	616	20.65	186	929	0.200	5.5	0.300
021121	00:02	616	20.61	186	488	0.200	5.2	0.275
021121	03:02	616	20.53	185	1008	0.200	5.0	0.300
021121	06:02	616	20.53	186	131	0.180	5.4	0.275
021121	09:02	616	20.53	186	445	0.140	5.0	0.225
021121	12:02	616	20.65	186	289	0.160	5.3	0.250
021121	15:02	616	20.65	186	151	0.180	5.2	0.275
021121	18:02	616	20.61	186	634	0.420	3.6	0.650
021121	21:02	616	20.61	186	925	0.360	3.8	0.550
021122	00:02	616	20.61	186	521	0.340	4.0	0.500
021122	03:02	616	20.61	186	201	0.320	4.1	0.500
021122	06:02	616	20.61	186	324	0.320	4.4	0.475
021122	09:02	616	20.61	186	515	0.280	4.7	0.425
021122	12:02	616	20.78	186	429	0.260	4.6	0.400
021122	15:02	616	20.82	186	580	0.240	4.8	0.375
021122	18:02	616	20.65	186	785	0.140	5.0	0.200
021122	21:02	616	20.57	187	333	0.160	6.0	0.250
021123	00:02	616	20.65	187	304	0.160	6.7	0.225
021123	03:02	616	20.57	186	1000	0.140	6.6	0.200
021123	06:02	616	20.65	186	823	0.160	6.7	0.225
021123	09:02	616	20.90	187	50	0.140	6.0	0.200
021123	12:02	616	20.98	187	44	0.160	6.9	0.225
021123	15:02	616	20.94	186	906	0.120	6.5	0.175
021123	18:02	616	20.86	187	134	0.100	6.8	0.150
021123	21:02	616	20.78	187	451	0.100	5.5	0.125
021124	00:02	616	20.65	187	482	0.100	5.7	0.150
021124	03:02	616	20.61	186	1015	0.100	5.5	0.125
021124	06:02	616	20.61	186	884	0.100	4.6	0.150
021124	09:02	616	20.69	186	871	0.140	4.3	0.200
021124	12:02	616	20.86	186	706	0.120	4.4	0.175
021124	15:02	616	20.90	186	634	0.160	3.8	0.250
021124	18:02	616	20.86	186	710	0.140	3.9	0.200
021124	21:02	616	20.69	187	39	0.080	4.5	0.125
021125	00:02	616	20.65	187	174	0.140	3.6	0.200
021125	03:02	616	20.45	186	913	0.140	3.8	0.200
021125	06:02	616	20.41	186	750	0.160	4.1	0.250
021125	09:02	616	20.57	186	637	0.100	4.1	0.150
021125	12:02	616	20.61	186	578	0.100	4.2	0.150
021125	15:02	616	20.65	186	573	0.080	4.4	0.125
021125	18:02	616	20.65	186	664	0.080	4.7	0.125
021125	21:02	616	20.61	186	842	0.080	4.7	0.125
021126	00:02	616	20.53	186	736	0.080	4.1	0.125
021126	03:02	616	20.53	186	566	0.140	3.5	0.225
021126	06:02	616	20.33	186	505	0.120	4.2	0.175
021126	09:02	616	20.53	186	289	0.140	3.9	0.200
021126	12:02	616	20.78	186	116	0.120	4.0	0.175
021126	15:02	616	20.78	186	360	0.120	4.1	0.175
021126	18:02	616	20.65	186	581	0.220	3.4	0.325
021126	21:02	616	20.57	186	820	0.200	3.5	0.325
021127	00:02	616	20.57	186	892	0.400	3.4	0.600
021127	03:02	616	20.53	186	861	0.320	3.6	0.475
021127	06:02	616	20.49	186	750	0.380	3.9	0.575
021127	09:02	616	20.45	186	719	0.380	3.9	0.550
021127	12:02	616	20.65	186	543	0.480	4.0	0.725
021127	15:02	616	20.57	186	833	0.600	4.0	0.900
021127	18:02	616	20.49	186	943	0.780	4.3	1.175
021127	21:02	616	20.49	186	975	0.800	4.2	1.200
021128	00:02	616	20.33	187	102	0.920	4.5	1.350
021128	03:02	616	20.33	187	154	0.980	4.3	1.450
021128	06:02	616	20.33	187	142	0.980	4.8	1.450
021128	09:02	616	20.49	187	68	1.120	5.3	1.650
021128	12:02	616	20.57	186	848	1.000	5.5	1.450
021128	15:02	616	20.45	187	73	1.200	5.5	1.750
021128	18:02	616	20.37	187	252	1.080	5.3	1.575
021128	21:02	616	20.29	187	166	1.220	5.5	1.775
021129	00:02	616	20.25	186	895	0.860	5.4	1.250
021129	03:02	616	20.17	187	23	0.780	5.8	1.150
021129	06:02	616	20.29	187	351	0.740	5.6	1.100
021129	09:02	616	20.17	187	166	0.680	5.2	0.975
021129	12:02	616	20.29	186	748	0.660	4.9	0.975
021129	15:02	616	20.29	186	786	0.800	6.1	1.175
021129	18:02	616	20.29	187	127	0.900	5.8	1.325
021129	21:02	616	20.29	187	205	0.920	6.2	1.325
021130	00:02	616	20.25	186	593	1.100	6.3	1.575
021130	03:02	616	20.25	186	981	1.280	7.0	1.825
021130	06:02	616	20.29	187	101	0.880	6.0	1.250
021130	09:02	616	20.29	186	899	0.820	5.8	1.175
021130	12:02	616	20.33	186	441	0.760	6.3	1.100
021130	15:02	616	20.33	186	366	1.100	8.4	1.550
021130	18:02	616	20.25	186	445	1.140	7.5	1.625
021130	21:02	616	20.17	186	753	0.840	7.2	1.200
021201	00:02	616	20.17	186	75	0.920	7.4	1.325
021201	03:02	616	20.09	186	14	0.800	6.2	1.175
021201	06:02	616	20.05	186	368	0.720	5.8	1.050
021201	09:02	616	20.05	186	334	0.760	5.5	1.125
021201	12:02	616	20.09	185	788	0.800	5.3	1.150
021201	15:02	616	20.05	185	726	0.780	5.5	1.125
021201	18:02	616	20.01	186	287	0.720	4.9	1.075
021201	21:02	616	20.01	186	351	0.800	5.0	1.175
021202	00:02	616	20.01	185	959	0.860	5.6	1.275
021202	03:02	616	19.97	185	584	0.820	5.5	1.200
